site,name,link,salary_min,salary_max,salary_curr
https://russia.superjob.ru,Программист-разработчик Python,https://superjob.ru/vakansii/programmist-razrabotchik-python-36103770.html,,,
https://russia.superjob.ru,Инженер-программист Python (data science),https://superjob.ru/vakansii/inzhener-programmist-python-36156813.html,,,
https://russia.superjob.ru,Automation QA Engineer / Тестировщик (Python),https://superjob.ru/vakansii/automation-qa-engineer-36332816.html,160000,200000,руб.
https://russia.superjob.ru,BackEnd Python-разработчик,https://superjob.ru/vakansii/backend-python-razrabotchik-35351781.html,150000,180000,руб.
https://russia.superjob.ru,Backend-разработчик Python,https://superjob.ru/vakansii/backend-razrabotchik-python-35151272.html,,,
https://russia.superjob.ru,Аналитик базы данных / Разработчик Python,https://superjob.ru/vakansii/analitik-bazy-dannyh-36302264.html,,,
https://russia.superjob.ru,Senior Python разработчик,https://superjob.ru/vakansii/senior-python-razrabotchik-36183343.html,95000,,руб.
https://russia.superjob.ru,"Ведущий программист (Python-разработчик (pre-middle, middle)",https://superjob.ru/vakansii/veduschij-programmist-36116795.html,81000,,руб.
https://russia.superjob.ru,Программист Python,https://superjob.ru/vakansii/programmist-python-36270453.html,,,
https://russia.superjob.ru,Python developer / Python разработчик / Программист Python,https://superjob.ru/vakansii/python-developer-36176334.html,,,
https://russia.superjob.ru,Младший аналитик процессов верификации,https://superjob.ru/vakansii/mladshij-analitik-processov-verifikacii-36173911.html,,,
https://russia.superjob.ru,Главный специалист отдела развития услуг снабжения,https://superjob.ru/vakansii/glavnyj-specialist-otdela-razvitiya-uslug-snabzheniya-36317980.html,,,
https://russia.superjob.ru,Специалист второй линии технической поддержки,https://superjob.ru/vakansii/specialist-vtoroj-linii-tehnicheskoj-podderzhki-36355729.html,45000,50000,руб.
https://russia.superjob.ru,Руководитель бэкенд-разработки (php),https://superjob.ru/vakansii/rukovoditel-bekend-razrabotki-35568681.html,,,
https://russia.superjob.ru,Продуктовый аналитик (Команда цифровых продуктов и сервисов),https://superjob.ru/vakansii/produktovyj-analitik-35765100.html,,,
https://russia.superjob.ru,Начальник отдела ИТ,https://superjob.ru/vakansii/nachalnik-otdela-it-35300974.html,,,
https://russia.superjob.ru,Системный администратор Windows Linux,https://superjob.ru/vakansii/sistemnyj-administrator-windows-linux-36031287.html,80000,100000,руб.
https://russia.superjob.ru,"Инженер-проектировщик ИТ и слаботочных сетей (ЛВС, СКС)",https://superjob.ru/vakansii/inzhener-proektirovschik-it-i-slabotochnyh-setej-36072193.html,70000,,руб.
https://russia.superjob.ru,Аналитик,https://superjob.ru/vakansii/analitik-36156846.html,,,
https://russia.superjob.ru,Геолог (1 категории),https://superjob.ru/vakansii/geolog-36325614.html,135000,,руб.
https://russia.superjob.ru,Системный администратор / DevOps инженер,https://superjob.ru/vakansii/sistemnyj-administrator-36206559.html,,,
https://russia.superjob.ru,DevOps Engineer,https://superjob.ru/vakansii/devops-engineer-34424249.html,,,
https://russia.superjob.ru,Младший аналитик,https://superjob.ru/vakansii/mladshij-analitik-32715654.html,25000,30000,руб.
https://russia.superjob.ru,Ведущий инженер-программист (машиностроительное производство),https://superjob.ru/vakansii/veduschij-inzhener-programmist-35649581.html,75000,,руб.
https://russia.superjob.ru,Программист 1C,https://superjob.ru/vakansii/programmist-1c-36168271.html,150000,,руб.
https://russia.superjob.ru,BI разработчик,https://superjob.ru/vakansii/bi-razrabotchik-36320968.html,,,
https://russia.superjob.ru,Главный специалист отдела систем мониторинга и наблюдения,https://superjob.ru/vakansii/glavnyj-specialist-otdela-sistem-monitoringa-i-nablyudeniya-35858870.html,,48000,руб.
https://russia.superjob.ru,Программист pyrus,https://superjob.ru/vakansii/programmist-pyrus-35374424.html,,,
https://russia.superjob.ru,Программист-исследователь,https://superjob.ru/vakansii/programmist-issledovatel-36107916.html,70000,87000,руб.
https://russia.superjob.ru,Аналитик в отдел планирования поставок,https://superjob.ru/vakansii/analitik-v-otdel-planirovaniya-postavok-36106863.html,,140000,руб.
https://russia.superjob.ru,Преподаватель по программированию,https://superjob.ru/vakansii/prepodavatel-po-programmirovaniyu-36106369.html,25000,,руб.
https://russia.superjob.ru,Специалист по экспертной статистической обработке биомедицинских данных,https://superjob.ru/vakansii/specialist-po-ekspertnoj-statisticheskoj-obrabotke-biomedicinskih-dannyh-36106080.html,80000,,руб.
https://russia.superjob.ru,"Программист Golang Senior, Middle+",https://superjob.ru/vakansii/programmist-golang-senior-36160823.html,,,
https://russia.superjob.ru,Инженер-программист АСУТП,https://superjob.ru/vakansii/inzhener-programmist-asutp-33562576.html,,,
https://russia.superjob.ru,Инженер (программирование),https://superjob.ru/vakansii/inzhener-36104139.html,40000,,руб.
https://russia.superjob.ru,Frontend-разработчик,https://superjob.ru/vakansii/frontend-razrabotchik-36104066.html,,,
